iter	Passed	Remaining
0	1	167
1	3	162
2	4	153
3	5	138
4	7	137
5	8	137
6	10	134
7	11	130
8	12	127
9	13	123
10	14	121
11	16	122
12	18	122
13	19	121
14	20	118
15	22	115
16	23	114
17	24	112
18	25	110
19	27	109
20	28	107
21	29	105
22	31	104
23	32	102
24	33	101
25	35	100
26	36	98
27	37	97
28	39	95
29	40	95
30	42	94
31	43	93
32	45	91
33	46	90
34	47	88
35	49	87
36	50	85
37	51	84
38	53	83
39	54	82
40	55	80
41	56	77
42	57	76
43	59	75
44	60	74
45	62	72
46	63	71
47	64	70
48	66	68
49	67	67
50	68	66
51	70	64
52	71	63
53	72	62
54	73	60
55	74	58
56	76	57
57	77	56
58	78	54
59	80	53
60	81	51
61	82	50
62	83	49
63	84	47
64	86	46
65	87	45
66	88	43
67	90	42
68	91	41
69	92	39
70	94	38
71	95	37
72	96	35
73	98	34
74	100	33
75	101	32
76	102	30
77	104	29
78	105	28
79	106	26
80	108	25
81	109	24
82	110	22
83	112	21
84	113	20
85	115	18
86	116	17
87	118	16
88	119	14
89	121	13
90	122	12
91	124	10
92	126	9
93	128	8
94	129	6
95	131	5
96	132	4
97	134	2
98	135	1
99	137	0
